20250616 11:07:00 America/New_York,534.61,146.98,95
20250616 11:07:30 America/New_York,534.66,137.58,102
20250616 11:08:00 America/New_York,534.6,198.62,147
20250616 11:08:30 America/New_York,534.65,532.42,363
20250616 11:09:00 America/New_York,534.72,197.1,155
20250616 11:09:30 America/New_York,534.72,100.82,69
20250616 11:10:00 America/New_York,534.77,187.66,148
20250616 11:10:30 America/New_York,534.88,355.87,168
20250616 11:11:00 America/New_York,534.87,261.2,189
20250616 11:11:30 America/New_York,534.8,275.57,138
20250616 11:12:00 America/New_York,534.72,164.3,143
20250616 11:12:30 America/New_York,534.75,156.28,113
20250616 11:13:00 America/New_York,534.73,116.97,80
20250616 11:13:30 America/New_York,534.82,62.51,42
20250616 11:14:00 America/New_York,534.79,78.88,60
20250616 11:14:30 America/New_York,534.88,148.49,93
20250616 11:15:00 America/New_York,535.01,1008.76,555
20250616 11:15:30 America/New_York,534.96,224.05,174
20250616 11:16:00 America/New_York,534.88,325.1,207
20250616 11:16:30 America/New_York,534.92,100.73,74
20250616 11:17:00 America/New_York,535.04,281.85,185
20250616 11:17:30 America/New_York,535.15,396.31,174
20250616 11:18:00 America/New_York,535.28,627.62,417
20250616 11:18:30 America/New_York,535.25,172.5,99
20250616 11:19:00 America/New_York,535.18,235.07,113
20250616 11:19:30 America/New_York,535.19,244.28,146
20250616 11:20:00 America/New_York,535.15,242.66,171
20250616 11:20:30 America/New_York,535.13,205.51,126
20250616 11:21:00 America/New_York,535.25,235.25,106
20250616 11:21:30 America/New_York,535.3,350.35,191
20250616 11:22:00 America/New_York,535.25,146.63,122
20250616 11:22:30 America/New_York,535.12,186.65,130
20250616 11:23:00 America/New_York,535.14,289.93,151
20250616 11:23:30 America/New_York,535.06,204.91,127
20250616 11:24:00 America/New_York,535.22,194.36,118
20250616 11:24:30 America/New_York,535.33,130.72,98
20250616 11:25:00 America/New_York,535.35,376.7,159
20250616 11:25:30 America/New_York,535.14,563.9,391
20250616 11:26:00 America/New_York,534.9,522.29,278
20250616 11:26:30 America/New_York,534.64,608.17,363
20250616 11:27:00 America/New_York,534.59,316.09,192
20250616 11:27:30 America/New_York,534.49,340.4,248
20250616 11:28:00 America/New_York,534.54,221.05,150
20250616 11:28:30 America/New_York,534.61,177.42,80
20250616 11:29:00 America/New_York,534.64,147.59,116
20250616 11:29:30 America/New_York,534.58,139.1,99
20250616 11:30:00 America/New_York,534.56,210.72,173
20250616 11:30:30 America/New_York,534.78,345.61,199
20250616 11:31:00 America/New_York,534.65,269.42,194
20250616 11:31:30 America/New_York,534.72,596.27,381
20250616 11:32:00 America/New_York,534.57,364.91,199
20250616 11:32:30 America/New_York,534.55,172.27,109
20250616 11:33:00 America/New_York,534.6,182.62,142
20250616 11:33:30 America/New_York,534.65,317.1,183
20250616 11:34:00 America/New_York,534.67,147.53,114
20250616 11:34:30 America/New_York,534.69,96.88,68
20250616 11:35:00 America/New_York,534.59,115.51,99
20250616 11:35:30 America/New_York,534.54,93.58,59
20250616 11:36:00 America/New_York,534.58,157.29,103
20250616 11:36:30 America/New_York,534.72,246.49,166
20250616 11:37:00 America/New_York,534.82,146,104
20250616 11:37:30 America/New_York,534.79,557.43,420
20250616 11:38:00 America/New_York,534.72,360.42,283
20250616 11:38:30 America/New_York,534.86,197.06,167
20250616 11:39:00 America/New_York,534.68,99.78,66
20250616 11:39:30 America/New_York,534.68,65.22,58
20250616 11:40:00 America/New_York,534.75,125.91,109
20250616 11:40:30 America/New_York,534.74,35.2,24
20250616 11:41:00 America/New_York,534.81,217.17,122
20250616 11:41:30 America/New_York,534.79,123.71,71
